0-249		m
4000-2499		n
4000-2749		n
4000-2999		n
4000-3249		n
4000-3499		n
4000-3749		n
4000-3999		y
4000-4249		n
4000-4499		y
4000-4749		n
4000-4999		n
4000-5249		n
4000-5499		n
4000-5749		n
4000-5999		n
4250-249		n
4250-499		n
4250-749		n
4250-999		n
4250-1249		n
4250-1499		n
4250-1749		n
4250-1999		n
4250-2249		n
4250-2499		n
4250-2749		n
4250-2999		n
4250-3249		n
4250-3499		n
4250-3749		n
4250-3999		n
4250-4249		n
4250-4499		n
4250-4749		y
4250-4999		n
4250-5249		n
4250-5499		n
4250-5749		n
4250-5999		n
4500-249		n
4500-499		n
4500-749		n
4500-999		n
4500-1249		n
4500-1499		n
4500-1749		n
4500-1999		n
4500-2249		m
4500-2499		n
4500-2749		n
4500-2999		n
4500-3249		n
4500-3499		n
4500-3749		n
4500-3999		n
4500-4249		m
4500-4499		n
4500-4749		n
4500-4999		n
4500-5249		y
4500-5499		n
4500-5749		n
4500-5999		n
4750-249		m
4750-499		y
4750-749		n
4750-999		n
4750-1249		n
4750-1499		n
4750-1749		n
4750-1999		n
4750-2249		n
4750-2499		n
4750-2749		n
4750-2999		n
4750-3249		n
4750-3499		n
4750-3749		n
4750-3999		n
4750-4249		n
4750-4499		y
4750-4749		n
4750-4999		n
4750-5249		n
4750-5499		n
4750-5749		n
4750-5999		n
5000-249		n
5000-499		n
5000-749		y
5000-999		n
5000-1249		n
5000-1499		n
5000-1749		n
5000-1999		n
5000-2249		y
5000-2499		n
5000-2749		y
5000-2999		n
5000-3249		n
5000-3499		n
5000-3749		n
5000-3999		n
5000-4249		n
5000-4499		n
5000-4749		n
5000-4999		n
5000-5249		n
5000-5499		n
5000-5749		n
5000-5999		n
5250-249		n
5250-499		n
5250-749		y
5250-999		m
5250-1249		n
5250-1499		n
5250-1749		n
5250-1999		y
5250-2249		y
5250-2499		n
5250-2749		m
5250-2999		n
5250-3249		n
5250-3499		n
5250-3749		n
5250-3999		n
5250-4249		n
5250-4499		n
5250-4749		n
5250-4999		n
5250-5249		n
5250-5499		n
5250-5749		n
5250-5999		n
5500-249		n
5500-499		n
5500-749		n
5500-999		n
5500-1249		n
5500-1499		n
5500-1749		m
5500-1999		n
5500-2249		n
5500-2499		y
5500-2749		m
5500-2999		n
5500-3249		n
5500-3499		n
5500-3749		n
5500-3999		n
5500-4249		n
5500-4499		n
5500-4749		n
5500-4999		n
5500-5249		n
5500-5499		y
5500-5749		n
5500-5999		y
5750-249		n
5750-499		n
5750-749		y
5750-999		n
5750-1249		n
5750-1499		n
5750-1749		n
5750-1999		n
5750-2249		n
5750-2499		n
5750-2749		n
5750-2999		n
5750-3249		n
5750-3499		n
5750-3749		n
5750-3999		m
5750-4249		n
5750-4499		m
5750-4749		n
5750-4999		n
5750-5249		n
5750-5499		n
5750-5749		n
5750-5999		n
